"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-600","Erdős Problem #600","to-check","239","1978","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Ruzsa and Szemer\'{e}di \cite{RuSz78} proved that $e(n,r)=o(n^2)$ for any fixed $r$."
"EP-601","Erdős Problem #601","to-check","309","1990","not_proved_identified_gap","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: A problem of Erdos, Hajnal, and Milner \cite{EHM70}, who proved this is true for $\alpha < \omega_1^{\omega+2}$."
"EP-602","Erdős Problem #602","to-check","74","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-603","Erdős Problem #603","to-check","75","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-604","Erdős Problem #604","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-609","Erdős Problem #609","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-610","Erdős Problem #610","to-check","345","1995","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Gallai, and Tuza \cite{EGT92}, who proved that $ \tau(G) \leq n-\sqrt{2n}+O(1)."
"EP-611","Erdős Problem #611","to-check","318","1992","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Gallai, and Tuza \cite{EGT92}, who proved for the latter question that $k_c(n) \geq n^{c'/\log\log n}$ for some $c'>0$, and that if every clique has size least $k$ then $\tau(G) \leq n-(kn)^{1/2}$."
"EP-612","Erdős Problem #612","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-614","Erdős Problem #614","to-check","76","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-616","Erdős Problem #616","to-check","312","1991","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos, Hajnal, and Tuza \cite{EHT91} proved that this $t$ satisfies $ \frac{3}{16}r+\frac{7}{8}\leq t \leq \frac{1}{5}r."
"EP-619","Erdős Problem #619","to-check","371","2000","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Gy\'{a}rf\'{a}s, and Ruszink\'{o} \cite{EGR98} who proved that $h_3(G)\leq n$ and $h_5(G) \leq \frac{n-1}{2}$ and there exist connected graphs $G$ on $n$ vertices with $h_3(G)\geq n-c$ for some constant $c>0$."
"EP-620","Erdős Problem #620","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-623","Erdős Problem #623","to-check","365","1999","not_proved_identified_gap","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: A problem of Erdos and Hajnal \cite{ErHa58}, who proved that if $\lvert X\rvert <\aleph_\omega$ then the answer is no."
"EP-624","Erdős Problem #624","to-check","184","1968","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A problem of Erdos and Hajnal \cite{ErHa68} who proved that $ \log_2 n \leq H(n) < \log_2n +(3+o(1))\log_2\log_2n."
"EP-625","Erdős Problem #625","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-626","Erdős Problem #626","to-check","297","1988","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: It is known that $ \frac{1}{4\log k}\log n\leq g_k(n) \leq \frac{2}{\log(k-2)}\log n+1, $ the lower bound due to Kostochka \cite{Ko88} and the upper bound to Erdos \cite{Er59b}."
"EP-627","Erdős Problem #627","to-check","183","1967","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Tutte and Zykov \cite{Zy52} independently proved that for every $k$ there is a graph with $\omega(G)=2$ and $\chi(G)=k$."
"EP-629","Erdős Problem #629","to-check","373","2000","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Rubin, and Taylor \cite{ERT80}, who proved that $ 2^{k-1}<n(k) <k^22^{k+2}."
"EP-633","Erdős Problem #633","harder","","2009","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-634","Erdős Problem #634","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-635","Erdős Problem #635","to-check","77","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-638","Erdős Problem #638","to-check","78","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-640","Erdős Problem #640","to-check","79","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-642","Erdős Problem #642","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-643","Erdős Problem #643","harder","","2009","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-644","Erdős Problem #644","to-check","319","1992","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Fon-Der-Flaass, Kostochka, and Tuza \cite{EFKT92}, who proved that $f(k,3)=2k$ and $f(k,4)=\lfloor 3k/2\rfloor$ and $f(k,5)=\lfloor 5k/4\rfloor$, and further that $f(k,6)=k$."
"EP-650","Erdős Problem #650","to-check","159","1959","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Sar\'{a}nyi \cite{ErSa59} proved that $f(m)\gg m^{1/2}$."
"EP-652","Erdős Problem #652","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-653","Erdős Problem #653","to-check","80","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Fishburn proved $g(n)>\frac{3}{8}n$ and Csizmadia proved $g(n)>\frac{7}{10}n$."
"EP-654","Erdős Problem #654","to-check","307","1990","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: In \cite{Er87b} and \cite{ErPa90} Erdos and Pach ask this under the additional assumption that there are no three points on a line (so that the points are in general position), although they only ask the weaker question whether there is a lower bound of the shape $(\tfrac{1}{3}+c)n$ for some constant $c>0$."
"EP-655","Erdős Problem #655","to-check","81","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: It is easy to see that this assumption implies that there are at least $\frac{n-1}{2}$ distinct distances determined by every point."
"EP-657","Erdős Problem #657","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-660","Erdős Problem #660","to-check","219","1975","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: For the similar problem in $\mathbb{R}^2$ there are always at least $n/2$ distances, as proved by Altman \cite{Al63} (see [93])."
"EP-661","Erdős Problem #661","to-check","82","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"EP-662","Erdős Problem #662","to-check","351","1997","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos also goes on to write 'Perhaps the following stronger conjecture holds: Let $t_1<t_2<\cdots$ be the set of distances occurring in the triangular lattice."
"EP-663","Erdős Problem #663","to-check","83","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The bound $q(n,k)<(1+o(1))k\log n$ is easy."
"EP-665","Erdős Problem #665","to-check","358","1997","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Larson prove that $h(n) \ll n^{1/2-c}$ for some constant $c>0$, and note this can be improved to $h(n)\ll (\log n)^2$ assuming Cramer-type bounds on the difference between consecutive primes."
"EP-667","Erdős Problem #667","to-check","84","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-668","Erdős Problem #668","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-669","Erdős Problem #669","to-check","203","1974","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Burr, Gr""{u}nbaum, and Sloane \cite{BGS74} have proved that $ f_3(n)=\frac{n^2}{6}-O(n) $ and $ F_3(n)=\frac{n^2}{6}-O(n)."
"EP-670","Erdős Problem #670","to-check","356","1997","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: The lower bound of $\binom{n}{2}$ for the diameter is trivial."
"EP-671","Erdős Problem #671","to-check","259","1980","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: $ Bernstein \cite{Be31} proved that for any choice of $a_i^n$ there exists $x_0\in [-1,1]$ such that $ \limsup_{n\to \infty} \sum_{1\leq i\leq n}\lvert p_{i}^n(x)\rvert=\infty."
"EP-675","Erdős Problem #675","to-check","85","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Is it true that $t_n>\exp(n^c)$ for some constant $c>0$?{/LI} {/UL} Elementary sieve theory implies that the set of squarefree numbers has the translation property."
"EP-676","Erdős Problem #676","to-check","246","1979","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The sieve of Eratosthenes implies that almost all integers are of this form, and the Brun-Selberg sieve implies the number of exceptions in $[1,x]$ is $\ll x/(\log x)^c$ for some constant $c>0$."
"EP-677","Erdős Problem #677","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-679","Erdős Problem #679","to-check","86","","second_stronger_version_disproved_first_open","The +O(1) stronger version is false: for all large n there exists k<n with omega(n-k) >= log k/log log k + c log k/(log log k)^2."
"EP-680","Erdős Problem #680","to-check","340","1995","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos observed that Cramer's conjecture $ \limsup_{k\to \infty} \frac{p_{k+1}-p_k}{(\log k)^2}=1 $ implies that for all $\epsilon>0$ and all sufficiently large $n$ there exists some $k$ such that $ p(n+k)>e^{(1-\epsilon)\sqrt{k}}."
"EP-681","Erdős Problem #681","to-check","87","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-683","Erdős Problem #683","to-check","249","1979","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er55d} proved that there exists some $c>0$ such that, whenever $k\leq n/2$, $ P\left(\binom{n}{k}\right)\gg k\log k."
"EP-684","Erdős Problem #684","to-check","88","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A classical theorem of Mahler states that for any $\epsilon>0$ and integers $k$ and $l$ then, writing $ (n+1)\cdots (n+k) = ab $ where the only primes dividing $a$ are $\leq l$ and the only primes dividing $b$ are $>l$, we have $a < n^{1+\epsilon}$ for all sufficiently large (depending on $\epsilon,k,l$) $n$."
"EP-685","Erdős Problem #685","to-check","89","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-686","Erdős Problem #686","to-check","90","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-687","Erdős Problem #687","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-688","Erdős Problem #688","to-check","91","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-689","Erdős Problem #689","to-check","92","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: One can ask a similar question replacing $2$ by any fixed integer $r$ (provided $n$ is sufficiently large depending on $r$)."
"EP-690","Erdős Problem #690","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-691","Erdős Problem #691","to-check","347","1996","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: If $A$ is a set of prime numbers (or, more generally, a set of pairwise coprime integers without $1$) then a necessary and sufficient condition is that $\sum_{p\in A}\frac{1}{p}=\infty$."
"EP-693","Erdős Problem #693","to-check","93","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-694","Erdős Problem #694","to-check","94","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos has proved that if such an $n$ exists then there must be infinitely many such $n$."
"EP-695","Erdős Problem #695","harder","","2010","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-696","Erdős Problem #696","to-check","95","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos writes it is 'easy to see' that $h(n)\to \infty$ for almost all $n$ (which is proved in the comments by van Doorn), and believed he could show that the normal order of $h(n)$ is $\log_*(n)$ (the iterated logarithm)."
"EP-700","Erdős Problem #700","to-check","96","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This implies $ f(n) \leq (1+o(1))\frac{n}{\log n}."
"EP-701","Erdős Problem #701","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-704","Erdős Problem #704","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-705","Erdős Problem #705","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-706","Erdős Problem #706","to-check","97","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: The case $r=1$ is the Hadwiger-Nelson problem, for which it is known that $5\leq L(1)\leq 7$."
"EP-708","Erdős Problem #708","to-check","321","1992","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A problem of Erdos and Sur\'{a}nyi \cite{ErSu59}, who proved that $g(n) \geq (2-o(1))n$, and that $g(3)=4$."
"EP-709","Erdős Problem #709","to-check","160","1959","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A problem of Erdos and Sur\'{a}nyi \cite{ErSu59}, who proved $ (\log n)^c \ll f(n) \ll n^{1/2} $ for some constant $c>0$."
"EP-710","Erdős Problem #710","to-check","322","1992","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos and Pomerance \cite{ErPo80}, who proved $ (2/\sqrt{e}+o(1))n\left(\frac{\log n}{\log\log n}\right)^{1/2}\leq f(n)\leq (1.7398\cdots+o(1))n(\log n)^{1/2}."
"EP-711","Erdős Problem #711","harder","","2026","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-712","Erdős Problem #712","to-check","264","1981","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Tur\'{an proved} that, when $r=2$, this limit is $ \frac{1}{2}\left(1-\frac{1}{k-1}\right)."
"EP-713","Erdős Problem #713","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-714","Erdős Problem #714","to-check","179","1966","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: K""{o}v\'{a}ri, S\'{o}s, and Tur\'{a}n \cite{KST54} proved $ \mathrm{ex}(n; K_{r,r}) \ll n^{2-1/r} $ for all $r\geq 2$."
"EP-719","Erdős Problem #719","to-check","98","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-724","Erdős Problem #724","to-check","280","1983","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Euler conjectured that $f(n)=1$ when $n\equiv 2\pmod{4}$, but this was disproved by Bose, Parker, and Shrikhande \cite{BPS60} who proved $f(n)\geq 2$ for $n\geq 7$."
"EP-725","Erdős Problem #725","to-check","154","1951","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Kaplansky \cite{ErKa46} proved the count is $ \sim e^{-\binom{k}{2}}(n!)^k $ when $k=o((\log n)^{3/2-\epsilon})$."
"EP-726","Erdős Problem #726","to-check","211","1975","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Erdos, Graham, Ruzsa, and Straus \cite{EGRS75}."
"EP-727","Erdős Problem #727","to-check","222","1975","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Erdos, Graham, Ruzsa, and Straus \cite{EGRS75}."
"EP-730","Erdős Problem #730","to-check","212","1975","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It is not known whether there are such pairs of the shape $(n,n+k)$ for every $k\geq 1$."
"EP-731","Erdős Problem #731","to-check","213","1975","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-734","Erdős Problem #734","to-check","266","1981","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and de Bruijn \cite{dBEr48} proved that if $A_1,\ldots,A_m\subseteq \{1,\ldots,n\}$ is a pairwise balanced block design then $m\geq n$, and this implies there must be some $t$ such that there are $\gg n^{1/2}$ many $t$ with $\lvert A_i\rvert=t$."
"EP-738","Erdős Problem #738","to-check","99","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-740","Erdős Problem #740","to-check","343","1995","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: R""{o}dl proved this is true if $\mathfrak{m}=\aleph_0$ and $r=3$ (see [108] for the finitary version)."
"EP-741","Erdős Problem #741","to-check","334","1994","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-749","Erdős Problem #749","to-check","100","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-750","Erdős Problem #750","to-check","278","1982","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: In \cite{Er69b} Erdos conjectures this for $f(m)=\epsilon m$ for any fixed $\epsilon>0$."
"EP-757","Erdős Problem #757","to-check","341","1995","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and S\'{o}s proved that $c\geq 1/2$."
"EP-761","Erdős Problem #761","to-check","101","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: A positive answer to the second question implies a positive answer to the first via the bound mentioned in [760]."
"EP-766","Erdős Problem #766","to-check","102","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: Dirac and Erdos proved independently that when $l=\lfloor k^2/4\rfloor+1$ $ f(n;k,l)\leq \lfloor n^2/4\rfloor+1."
"EP-768","Erdős Problem #768","to-check","103","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ Erdos asked about this because $\lvert A\cap [1,N]\rvert$ provides an upper bound for the number of integers $n\leq N$ for which there is a non-cyclic simple group of order $n$."
"EP-769","Erdős Problem #769","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-770","Erdős Problem #770","to-check","104","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It is easy to see that $h(n)=n+1$ if and only if $n+1$ is prime, and that $h(n)$ is unbounded for odd $n$."
"EP-773","Erdős Problem #773","to-check","344","1995","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A question of Alon and Erdos \cite{AlEr85}, who proved $\lvert A\rvert \geq N^{2/3-o(1)}$ is possible (via a random subset), and observed that $ \lvert A\rvert \ll \frac{N}{(\log N)^{1/4}}, $ since (as shown by Landau) the density of the sums of two squares decays like $(\log N)^{-1/2}$."
"EP-774","Erdős Problem #774","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-776","Erdős Problem #776","to-check","105","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: For $r>1$ and $n$ sufficiently large $n-3$ is achievable, but $n-2$ is never achievable."
"EP-778","Erdős Problem #778","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-782","Erdős Problem #782","harder","","2007","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-783","Erdős Problem #783","to-check","106","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-786","Erdős Problem #786","to-check","175","1965","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{Er65} Erdos reports that Ruzsa proved the maximal size of such an $A$ is $\leq (1-c)N$ for some constant $c>0$ for large $N$, but the proof 'is not yet published'."
"EP-787","Erdős Problem #787","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-788","Erdős Problem #788","to-check","372","2000","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A conjecture of Choi \cite{Ch71}, who proved $f(n) \ll n^{3/4}$."
"EP-789","Erdős Problem #789","to-check","207","1974","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: Erdos \cite{Er62c} proved $h(n) \ll n^{5/6}$."
"EP-790","Erdős Problem #790","to-check","223","1975","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos observed that $l(n)\geq (n/2)^{1/2}$, which Choi improved to $l(n)>(1+c)n^{1/2}$ for some $c>0$."
"EP-791","Erdős Problem #791","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-792","Erdős Problem #792","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-793","Erdős Problem #793","to-check","191","1969","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er38} proved there exist constants $0<c_1\leq c_2$ such that $ \pi(n)+c_1n^{2/3}(\log n)^{-2}\leq F(n) \leq \pi(n)+c_2n^{2/3}(\log n)^{-2}."
"EP-796","Erdős Problem #796","to-check","192","1969","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er64d} proved that if $2^{r-1}<k\leq 2^r$ then $ g_k(n) \sim \frac{(\log\log n)^{r-1}}{(r-1)!\log n}n $ (which is the asymptotic count of those integers $\leq n$ with $r$ distinct prime factors)."
"EP-802","Erdős Problem #802","to-check","349","1996","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A conjecture of Ajtai, Erdos, Koml\'{o}s, and Szemer\'{e}di \cite{AEKS81}, who proved that there must exist an independent set on $ \gg_r \frac{\log\log(t+1)}{t}n $ many vertices."
"EP-805","Erdős Problem #805","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-809","Erdős Problem #809","to-check","107","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Burr, Erdos, Graham, and S\'{o}s, who proved that $ F_k(n)\gg n^2."
"EP-810","Erdős Problem #810","to-check","108","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-811","Erdős Problem #811","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-812","Erdős Problem #812","to-check","304","1989","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Burr, Erdos, Faudree, and Schelp \cite{BEFS89} proved that $ R(n+1)-R(n) \geq 4n-8 $ for all $n\geq 2$."
"EP-813","Erdős Problem #813","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-817","Erdős Problem #817","to-check","109","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A problem of Erdos and S\'{a}rk""{o}zy who proved $ g_3(n) \gg \frac{3^n}{n^{O(1)}}."
"EP-819","Erdős Problem #819","to-check","313","1991","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and Freud \cite{ErFr91} proved $ \left(\frac{3}{8}-o(1)\right)N \leq f(N) \leq \left(\frac{1}{2}+o(1)\right)N, $ and note that it is closely connected to the size of the largest quasi-Sidon set (see [840])."
"EP-820","Erdős Problem #820","to-check","204","1974","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er74b} proved that there exists a constant $c>0$ such that $ H(n) > \exp(n^{c/(\log\log n)^2}) $ for infinitely many $n$."
"EP-821","Erdős Problem #821","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-824","Erdős Problem #824","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-825","Erdős Problem #825","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-826","Erdős Problem #826","to-check","110","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-827","Erdős Problem #827","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-828","Erdős Problem #828","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-829","Erdős Problem #829","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-830","Erdős Problem #830","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-831","Erdős Problem #831","to-check","111","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"EP-836","Erdős Problem #836","to-check","214","1975","first_question_disproved_second_open","Alon counterexample gives intersecting 3-chromatic r-uniform hypergraphs with |V|=Theta(4^r/sqrt(r)), so O(r^2) fails."
"EP-837","Erdős Problem #837","to-check","112","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: It is known that $ A_2 = \left\{ 1-\frac{1}{k} : k\geq 1\right\}."
"EP-838","Erdős Problem #838","to-check","237","1978","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos proved in \cite{Er78c} that there exist constants $c_1,c_2>0$ such that $ n^{c_1\log n}<f(n)< n^{c_2\log n}."
"EP-839","Erdős Problem #839","to-check","328","1993","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-840","Erdős Problem #840","harder","","2097","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-846","Erdős Problem #846","to-check","113","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"EP-847","Erdős Problem #847","to-check","114","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-849","Erdős Problem #849","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-850","Erdős Problem #850","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
